log_id,timestamp,url,response_time_ms,user_agent
053,2022-09-20T02:06:03,/blog,192,Safari/605.1.15
054,2022-12-12T21:41:30,/register,126,Edge/18.19041
055,2022-06-16T13:21:36,/register,155,Chrome/91.0
056,2022-12-16T10:37:08,/support,53,Chrome/91.0
057,2022-11-16T15:51:49,/register,140,Chrome/91.0
058,2022-04-26T05:22:58,/products,198,Chrome/91.0
059,2022-10-07T13:41:07,/products,144,Edge/18.19041
060,2022-09-17T14:34:37,/blog,77,Mozilla/5.0
061,2022-06-24T17:56:15,/support,186,Safari/605.1.15
062,2022-07-31T10:37:45,/products,143,Chrome/91.0
063,2022-06-22T08:20:42,/contact,75,Mozilla/5.0
064,2022-12-23T17:58:45,/blog,51,Chrome/91.0
065,2022-12-29T17:56:07,/register,87,Safari/605.1.15
066,2022-09-14T10:49:27,/support,100,Chrome/91.0
067,2022-12-08T15:30:36,/products,62,Edge/18.19041
068,2022-01-21T17:24:20,/about,65,Chrome/91.0
069,2022-07-08T09:45:54,/support,70,Mozilla/5.0
070,2022-06-17T21:06:02,/support,148,Edge/18.19041
071,2022-02-12T10:43:57,/blog,91,Chrome/91.0
072,2022-11-12T01:38:15,/faq,57,Mozilla/5.0
073,2022-09-04T03:43:16,/faq,199,Chrome/91.0
074,2022-05-17T11:29:45,/about,177,Safari/605.1.15
075,2022-09-08T05:13:05,/faq,53,Chrome/91.0
076,2022-07-23T12:15:31,/register,122,Edge/18.19041
077,2022-10-18T00:25:59,/support,138,Safari/605.1.15
078,2022-05-26T07:03:55,/register,84,Edge/18.19041
079,2022-03-14T02:56:18,/products,64,Safari/605.1.15
080,2022-10-08T16:54:03,/contact,113,Chrome/91.0
081,2022-02-19T10:24:15,/about,122,Chrome/91.0
082,2022-06-27T14:53:41,/support,170,Safari/605.1.15
083,2022-06-28T00:32:14,/blog,77,Safari/605.1.15
084,2022-08-22T14:59:53,/login,187,Edge/18.19041
085,2022-01-26T11:28:23,/products,53,Edge/18.19041
086,2022-11-21T03:11:48,/products,92,Chrome/91.0
087,2022-02-10T10:55:36,/register,166,Safari/605.1.15
088,2022-02-15T17:39:47,/support,188,Safari/605.1.15
089,2022-03-26T11:46:26,/support,199,Edge/18.19041
090,2022-02-02T02:03:03,/support,144,Mozilla/5.0
091,2022-04-30T14:59:32,/home,114,Edge/18.19041
092,2022-08-08T02:24:53,/home,86,Mozilla/5.0
093,2022-07-11T10:39:05,/support,160,Edge/18.19041
094,2022-02-27T23:53:37,/login,67,Edge/18.19041
095,2022-10-24T05:34:04,/home,192,Safari/605.1.15
096,2022-09-08T16:09:28,/contact,70,Chrome/91.0
097,2022-06-17T00:22:24,/services,101,Mozilla/5.0
098,2022-07-18T00:38:24,/services,162,Safari/605.1.15
099,2022-07-26T22:53:56,/services,176,Edge/18.19041
100,2022-01-03T16:11:41,/support,85,Mozilla/5.0
